,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
7173,Thaddeus Young,PHI,25,203.2,106.59411999999999,Georgia Tech,USA,2007,1,12,76,14.8,7.5,1.6,-0.2,0.077,0.17,0.19899999999999998,0.541,0.078,2012-13
7174,Thabo Sefolosha,OKC,29,200.66,97.52228000000001,None,Switzerland,2006,1,13,81,7.6,3.9,1.5,12.5,0.032,0.121,0.114,0.617,0.08,2012-13
7175,Terrence Williams,BOS,26,198.12,99.79024,Louisville,USA,2009,1,11,24,4.6,1.8,1.6,0.7,0.015,0.142,0.188,0.518,0.19,2012-13
7176,Terrence Ross,TOR,22,198.12,88.45044,Washington,USA,2012,1,8,73,6.4,2,0.7,-3.3,0.032,0.106,0.195,0.491,0.073,2012-13
7177,Terrence Jones,HOU,21,205.74,114.30518400000001,Kentucky,USA,2012,1,18,19,5.5,3.4,0.8,-2.6,0.107,0.154,0.179,0.512,0.09,2012-13
7178,Terrel Harris,NOH,25,193.04,86.18248,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,20,0.8,1.3,0.5,0.9,0.036000000000000004,0.19,0.17300000000000001,0.239,0.107,2012-13
7179,Tayshaun Prince,MEM,33,205.74,97.52228000000001,Kentucky,USA,2002,1,23,82,10.4,4.4,2.4,2.3,0.032,0.127,0.172,0.486,0.122,2012-13
7180,Taj Gibson,CHI,28,205.74,102.0582,Southern California,USA,2009,1,26,65,8,5.3,0.9,4.8,0.1,0.17800000000000002,0.182,0.518,0.071,2012-13
7181,Steve Novak,NYK,30,208.28,106.59411999999999,Marquette,USA,2006,2,32,81,6.6,1.9,0.4,6.5,0.012,0.102,0.13,0.602,0.032,2012-13
7182,Tim Duncan,SAS,37,210.82,115.66596000000001,Wake Forest,US Virgin Islands,1997,1,1,69,17.8,9.9,2.7,10.5,0.075,0.287,0.27899999999999997,0.5539999999999999,0.151,2012-13
7183,Steve Nash,LAL,39,190.5,80.73937600000001,Santa Clara,Canada,1996,1,15,50,12.7,2.8,6.7,1.4,0.018000000000000002,0.077,0.177,0.605,0.31,2012-13
7184,Ty Lawson,DEN,25,180.34,88.45044,North Carolina,USA,2009,1,18,73,16.7,2.7,6.9,4.4,0.016,0.071,0.22,0.5489999999999999,0.295,2012-13
7185,Tyler Honeycutt,SAC,22,203.2,85.275296,UCLA,USA,2011,2,35,9,0.9,1.1,0.2,-17.8,0.081,0.233,0.217,0.337,0.111,2012-13
7186,Drew Gooden,MIL,31,208.28,113.398,Kansas,USA,2002,1,4,16,3.3,1.9,0.4,-5.3,0.082,0.134,0.217,0.382,0.065,2012-13
7187,Dwight Howard,LAL,27,210.82,120.20188,None,USA,2004,1,1,76,17.1,12.4,1.4,3.4,0.106,0.275,0.22399999999999998,0.573,0.068,2012-13
7188,Dwyane Wade,MIA,31,193.04,99.79024,Marquette,USA,2003,1,5,69,21.2,5,5.1,13,0.048,0.127,0.29100000000000004,0.5710000000000001,0.248,2012-13
7189,Zaza Pachulia,ATL,29,210.82,124.7378,None,Georgia,2003,2,42,52,5.9,6.5,1.5,0.7,0.139,0.215,0.145,0.534,0.107,2012-13
7190,Zach Randolph,MEM,31,205.74,117.93392,Michigan State,USA,2001,1,19,76,15.4,11.2,1.4,4.6,0.13699999999999998,0.256,0.23,0.506,0.073,2012-13
7191,Xavier Henry,NOH,22,198.12,99.79024,Kansas,USA,2010,1,12,50,3.9,1.8,0.3,-13.9,0.038,0.146,0.17300000000000001,0.48100000000000004,0.036000000000000004,2012-13
7192,Wilson Chandler,DEN,26,203.2,102.0582,DePaul,USA,2007,1,23,43,13,5.1,1.3,9.3,0.049,0.17300000000000001,0.228,0.556,0.082,2012-13
7193,Willie Green,LAC,31,190.5,91.171992,Detroit Mercy,USA,2003,2,41,72,6.3,1.3,0.8,4.4,0.017,0.082,0.16899999999999998,0.562,0.07,2012-13
7194,Will Conroy,MIN,30,187.96,88.45044,Washington,USA,Undrafted,Undrafted,Undrafted,4,0.3,0.3,0,-100.2,0.042,0,0.213,0.051,0,2012-13
7195,Will Bynum,DET,30,182.88,83.91452,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,65,9.8,1.5,3.6,-6.6,0.026000000000000002,0.068,0.267,0.532,0.341,2012-13
7196,Will Barton,POR,22,195.58,77.11064,Memphis,USA,2012,2,40,73,4,2,0.8,-13.4,0.045,0.147,0.203,0.43700000000000006,0.113,2012-13
7197,Tyler Hansbrough,IND,27,205.74,113.398,North Carolina,USA,2009,1,13,81,7,4.6,0.4,-0.6,0.128,0.171,0.203,0.527,0.05,2012-13
7198,Wesley Matthews,POR,26,195.58,99.79024,Marquette,USA,Undrafted,Undrafted,Undrafted,69,14.8,2.8,2.5,-2.2,0.017,0.077,0.191,0.574,0.115,2012-13
7199,Wayne Ellington,CLE,25,193.04,90.7184,North Carolina,USA,2009,1,28,78,7.9,2.1,1.3,-0.3,0.017,0.1,0.168,0.546,0.1,2012-13
7200,Vladimir Radmanovic,CHI,32,208.28,106.59411999999999,None,Serbia,2001,1,12,25,1.3,1.1,0.3,-11.7,0.072,0.155,0.16699999999999998,0.37200000000000005,0.099,2012-13
7201,Vince Carter,DAL,36,198.12,99.79024,North Carolina,USA,1998,1,5,81,13.4,4.1,2.4,4.7,0.032,0.142,0.228,0.5710000000000001,0.14800000000000002,2012-13
