,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
5407,12563,Damion Lee,PHX,30,195.58,95.25432,Drexel,USA,Undrafted,Undrafted,Undrafted,74,8.2,3.0,1.3,2.7,0.024,0.124,0.155,0.607,0.092,2022-23
5408,12564,Damian Lillard,POR,32,187.96,88.45044,Weber State,USA,2012,1,6,58,32.2,4.8,7.3,2.1,0.022,0.1119999999999999,0.331,0.645,0.3379999999999999,2022-23
5409,12565,Anthony Gill,WAS,30,203.2,104.32616,Virginia,USA,Undrafted,Undrafted,Undrafted,59,3.3,1.7,0.6,-0.8,0.0579999999999999,0.1,0.1159999999999999,0.604,0.074,2022-23
5410,12566,Anthony Lamb,GSW,25,198.12,102.965384,Vermont,USA,Undrafted,Undrafted,Undrafted,62,6.7,3.5,1.5,1.7,0.047,0.129,0.136,0.61,0.111,2022-23
5411,12567,Austin Reaves,LAL,25,195.58,89.357624,Oklahoma,USA,Undrafted,Undrafted,Undrafted,64,13.0,3.0,3.4,4.9,0.018,0.079,0.154,0.687,0.155,2022-23
5412,12568,Austin Rivers,MIN,30,193.04,90.7184,Duke,USA,2012,1,10,52,4.9,1.6,1.4,-4.9,0.005,0.078,0.104,0.564,0.095,2022-23
5413,12569,Ayo Dosunmu,CHI,23,195.58,90.7184,Illinois,USA,2021,2,38,80,8.6,2.8,2.6,-1.3,0.022,0.081,0.145,0.5670000000000001,0.135,2022-23
5414,12570,Bam Adebayo,MIA,25,205.74,115.66596,Kentucky,USA,2017,1,14,75,20.4,9.2,3.2,1.8,0.073,0.206,0.251,0.5920000000000001,0.154,2022-23
5415,12571,Ben Simmons,BKN,26,208.28,108.86208,Louisiana State,Australia,2016,1,1,42,6.9,6.3,6.1,2.1,0.04,0.186,0.142,0.5589999999999999,0.295,2022-23
5416,12572,Bennedict Mathurin,IND,21,195.58,95.25432,Arizona,Canada,2022,1,6,78,16.7,4.1,1.5,-4.3,0.037,0.103,0.235,0.5660000000000001,0.078,2022-23
5417,12573,Bismack Biyombo,PHX,30,203.2,115.66596,,DRC,2011,1,7,61,4.3,4.3,0.9,3.1,0.093,0.184,0.136,0.555,0.089,2022-23
5418,12574,Blake Griffin,BOS,34,205.74,113.398,Oklahoma,USA,2009,1,1,41,4.1,3.8,1.5,9.9,0.079,0.195,0.125,0.59,0.142,2022-23
5419,12575,Blake Wesley,SAS,20,193.04,83.91452,Notre Dame,USA,2022,1,25,37,5.0,2.2,2.6,-13.4,0.016,0.1009999999999999,0.18,0.3929999999999999,0.201,2022-23
5420,12576,Boban Marjanovic,HOU,34,223.52,131.54168,,Serbia,Undrafted,Undrafted,Undrafted,31,3.3,1.9,0.3,18.5,0.121,0.226,0.206,0.71,0.079,2022-23
5421,12577,Bobby Portis,MIL,28,210.82,113.398,Arkansas,USA,2015,1,22,70,14.1,9.6,1.5,-0.1,0.08,0.263,0.211,0.575,0.087,2022-23
5422,12578,Bogdan Bogdanovic,ATL,30,195.58,102.0582,,Serbia,2014,1,27,54,14.0,3.1,2.8,1.2,0.015,0.093,0.196,0.586,0.134,2022-23
5423,12579,Bojan Bogdanovic,DET,34,200.66,102.511792,,Croatia,2011,2,31,59,21.6,3.8,2.6,-8.2,0.018,0.099,0.251,0.627,0.133,2022-23
5424,12580,Bol Bol,ORL,23,218.44,99.79024,Oregon,Sudan,2019,2,44,70,9.1,5.8,1.0,-4.4,0.046,0.22,0.177,0.603,0.069,2022-23
5425,12581,Bones Hyland,LAC,22,187.96,76.657048,Virginia Commonwealth,USA,2021,1,26,56,11.8,2.4,3.1,-5.3,0.019,0.111,0.271,0.535,0.245,2022-23
5426,12582,Bradley Beal,WAS,30,193.04,93.893544,Florida,USA,2012,1,3,50,23.2,3.9,5.4,0.7,0.026,0.091,0.288,0.593,0.26,2022-23
5427,12583,Brandon Boston Jr.,LAC,21,198.12,85.275296,Kentucky,USA,2021,2,51,22,6.5,1.4,0.9,-7.7,0.024,0.098,0.237,0.515,0.129,2022-23
5428,12584,Anthony Edwards,MIN,21,193.04,102.0582,Georgia,USA,2020,1,1,79,24.6,5.8,4.4,1.9,0.017,0.139,0.292,0.564,0.192,2022-23
5429,12585,Anthony Davis,LAL,30,208.28,114.758776,Kentucky,USA,2012,1,1,56,25.9,12.5,2.6,4.8,0.102,0.248,0.2769999999999999,0.627,0.128,2022-23
5430,12586,Anfernee Simons,POR,24,190.5,82.10015200000001,,USA,2018,1,24,62,21.1,2.6,4.1,-1.6,0.008,0.067,0.247,0.581,0.186,2022-23
5431,12587,Andrew Wiggins,GSW,28,200.66,89.357624,Kansas,Canada,2014,1,1,37,17.1,5.0,2.3,5.2,0.05,0.1009999999999999,0.212,0.564,0.1,2022-23
5432,12588,A.J. Lawson,DAL,22,198.12,81.19296800000001,South Carolina,Canada,Undrafted,Undrafted,Undrafted,15,3.7,1.4,0.1,-20.1,0.046,0.152,0.1889999999999999,0.589,0.032,2022-23
5433,12589,AJ Green,MIL,23,195.58,86.18248,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,35,4.4,1.3,0.6,-4.9,0.016,0.105,0.159,0.607,0.092,2022-23
5434,12590,AJ Griffin,ATL,19,198.12,99.79024,Duke,USA,2022,1,16,72,8.9,2.1,1.0,1.5,0.026,0.08,0.174,0.5770000000000001,0.07,2022-23
5435,12591,Aaron Gordon,DEN,27,203.2,106.59412,Arizona,USA,2014,1,4,68,16.3,6.6,3.0,12.1,0.086,0.136,0.206,0.617,0.129,2022-23
5436,12592,Aaron Holiday,ATL,26,182.88,83.91452,UCLA,USA,2018,1,23,63,3.9,1.2,1.4,0.9,0.0279999999999999,0.059,0.129,0.528,0.135,2022-23
5437,12593,Aaron Nesmith,IND,23,195.58,97.52228,Vanderbilt,USA,2020,1,14,73,10.1,3.8,1.3,-4.7,0.033,0.119,0.168,0.5660000000000001,0.073,2022-23
5438,12594,Aaron Wiggins,OKC,24,195.58,86.18248,Maryland,USA,2021,2,55,70,6.8,3.0,1.1,1.5,0.05,0.109,0.143,0.607,0.084,2022-23
5439,12595,Admiral Schofield,ORL,26,195.58,109.315672,Tennessee,United Kingdom,2019,2,42,37,4.2,1.7,0.8,-8.3,0.047,0.092,0.139,0.5870000000000001,0.103,2022-23
5440,12596,Al Horford,BOS,37,205.74,108.86208,Florida,Dominican Republic,2007,1,3,63,9.8,6.2,3.0,7.8,0.039,0.159,0.119,0.631,0.128,2022-23
5441,12597,Brandon Clarke,MEM,26,203.2,97.52228,Gonzaga,Canada,2019,1,21,56,10.0,5.5,1.3,0.7,0.079,0.177,0.174,0.6809999999999999,0.1,2022-23
5442,12598,Alec Burks,DET,31,198.12,97.068688,Colorado,USA,2011,1,12,51,12.8,3.1,2.2,-1.0,0.017,0.124,0.218,0.602,0.15,2022-23
5443,12599,Alex Caruso,CHI,29,195.58,84.368112,Texas A&M,USA,Undrafted,Undrafted,Undrafted,67,5.6,2.9,2.9,6.1,0.0279999999999999,0.099,0.109,0.588,0.155,2022-23
5444,12600,Alex Len,SAC,30,218.44,113.398,Maryland,Ukraine,2013,1,5,26,1.7,2.3,0.5,6.6,0.143,0.1939999999999999,0.132,0.58,0.099,2022-23
5445,12601,Alize Johnson,SAS,27,203.2,96.161504,Missouri State,USA,2018,2,50,4,1.8,2.5,0.3,19.0,0.063,0.211,0.145,0.509,0.042,2022-23
5446,12602,Alondes Williams,BKN,24,193.04,95.25432,Wake Forest,USA,Undrafted,Undrafted,Undrafted,1,0.0,1.0,0.0,-53.0,0.0,0.25,0.143,0.0,0.0,2022-23
5447,12603,Alperen Sengun,HOU,20,210.82,110.222856,,Turkey,2021,1,16,75,14.8,9.0,3.9,-7.8,0.107,0.204,0.211,0.599,0.1989999999999999,2022-23
5448,12604,Amir Coffey,LAC,26,200.66,95.25432,Minnesota,USA,Undrafted,Undrafted,Undrafted,50,3.4,1.1,1.1,-8.9,0.026,0.055,0.128,0.498,0.119,2022-23
5449,12605,Andre Drummond,CHI,29,210.82,126.552168,Connecticut,USA,2012,1,9,67,6.0,6.6,0.5,2.6,0.16,0.353,0.196,0.606,0.057,2022-23
5450,12606,Andre Iguodala,GSW,39,198.12,97.52228,Arizona,USA,2004,1,9,8,2.1,2.1,2.4,12.0,0.027,0.113,0.089,0.521,0.183,2022-23
5451,12607,Andrew Nembhard,IND,23,190.5,86.636072,Gonzaga,Canada,2022,2,31,75,9.5,2.7,4.5,-5.9,0.016,0.078,0.159,0.528,0.222,2022-23
5452,12608,Aleksej Pokusevski,OKC,21,213.36,95.25432,,Serbia,2020,1,17,34,8.1,4.7,1.9,-12.7,0.0579999999999999,0.16,0.179,0.522,0.13,2022-23
5453,12609,Isaiah Livers,DET,24,198.12,105.233344,Michigan,USA,2021,2,42,52,6.7,2.8,0.8,-7.8,0.023,0.096,0.1169999999999999,0.5670000000000001,0.048,2022-23
5454,12610,Brandon Ingram,NOP,25,203.2,86.18248,Duke,USA,2016,1,2,45,24.7,5.5,5.8,3.0,0.015,0.145,0.306,0.5820000000000001,0.2769999999999999,2022-23
